ID;Humidity;Temperature1;Temperature2;Lux;UV;Pressure;Lat;Lon;Altitude;Speed;p25;p10
90;69.4;9.96;11.33;74;0;96058.66;8.508868685;47.40994264;515.4;1.24;21.4;25.3
91;69.61;9.93;11.29;74;0;96057.31;8.508902054;47.40999063;515.4;1.24;21.5;25.5
92;69.81;9.9;11.25;73;0;96060.53;8.508935423;47.41003862;515.4;1.24;21.6;25.6
93;70.02;9.84;11.19;93;5;96064.88;8.508968793;47.41008661;515.4;1.24;21.7;25.3
94;70.22;9.78;11.12;80;5;96063.91;8.509002162;47.4101346;515.4;1.24;21.9;26.1
95;70.56;9.72;11.04;89;5;96064.09;8.509035532;47.41018258;515.4;1.24;22.3;26.5
96;70.77;9.65;10.98;110;5;96066.39;8.509068901;47.41023057;515.4;1.24;22.2;26.6
97;71.08;9.58;10.93;103;5;96061.43;8.509102271;47.41027856;515.4;1.24;21.7;25.7
98;71.42;9.53;10.89;101;5;96058.77;8.509135641;47.41032655;515.4;1.24;21.7;25.1
99;71.72;9.46;10.84;94;5;96061.62;8.50916694;47.41037156;515.4;1.24;21.6;24.9
100;71.93;9.42;10.8;92;5;96061.26;8.509213936;47.41041396;515.4;1.24;21.7;25.8
